iter	Passed	Remaining
0	159	159188
1	173	86609
2	187	62169
3	200	49875
4	212	42384
5	224	37252
6	238	33831
7	248	30788
8	258	28486
9	266	26375
10	273	24594
11	280	23069
12	286	21764
13	292	20619
14	299	19646
15	305	18760
16	311	18026
17	317	17340
18	322	16670
19	328	16098
20	335	15619
21	341	15177
22	347	14753
23	356	14493
24	367	14326
25	373	13991
26	379	13669
27	385	13388
28	390	13073
29	396	12804
30	402	12595
31	409	12389
32	416	12207
33	423	12026
34	430	11875
35	438	11750
36	445	11604
37	454	11510
38	461	11370
39	468	11246
40	475	11112
41	481	10988
42	487	10855
43	494	10751
44	500	10611
45	505	10486
46	511	10376
47	519	10299
48	525	10200
49	534	10162
50	544	10130
51	550	10038
52	556	9952
53	564	9883
54	570	9796
55	577	9727
56	582	9642
57	589	9567
58	595	9501
59	602	9432
60	608	9368
61	615	9307
62	621	9242
63	627	9181
64	635	9144
65	642	9097
66	649	9050
67	656	8997
68	662	8941
69	668	8881
70	674	8822
71	680	8770
72	685	8706
73	691	8653
74	697	8604
75	703	8552
76	710	8516
77	717	8481
78	726	8466
79	733	8440
80	741	8417
81	749	8390
82	755	8351
83	762	8310
84	769	8278
85	775	8243
86	782	8207
87	788	8175
88	794	8137
89	801	8100
90	807	8067
91	813	8026
92	820	8002
93	827	7973
94	835	7954
95	842	7931
96	849	7903
97	854	7868
98	861	7840
99	867	7811
100	874	7784
101	880	7753
102	887	7729
103	895	7711
104	911	7770
105	920	7763
106	928	7753
107	936	7736
108	943	7716
109	950	7691
110	957	7668
111	964	7648
112	971	7624
113	987	7677
114	997	7679
115	1007	7674
116	1014	7660
117	1022	7644
118	1030	7632
119	1052	7721
120	1075	7810
121	1095	7883
122	1118	7975
123	1127	7967
124	1135	7951
125	1143	7932
126	1150	7911
127	1158	7892
128	1166	7873
129	1173	7856
130	1182	7846
131	1191	7834
132	1198	7812
133	1206	7795
134	1214	7778
135	1223	7770
136	1230	7748
137	1237	7731
138	1246	7719
139	1251	7688
140	1260	7678
141	1269	7672
142	1277	7656
143	1283	7632
144	1292	7623
145	1299	7601
