iter	Passed	Remaining
146	1307	7589
147	1315	7571
148	1323	7557
149	1331	7547
150	1339	7529
151	1347	7515
152	1353	7493
153	1360	7474
154	1367	7454
155	1373	7431
156	1380	7410
157	1386	7387
158	1392	7367
159	1399	7348
160	1406	7328
161	1411	7303
162	1418	7286
163	1425	7267
164	1432	7247
165	1439	7230
166	1445	7209
167	1452	7195
168	1461	7186
169	1470	7180
170	1477	7161
171	1484	7144
172	1489	7122
173	1496	7103
174	1502	7084
175	1508	7063
176	1514	7042
177	1521	7024
178	1527	7007
179	1534	6988
180	1541	6973
181	1547	6954
182	1553	6937
183	1560	6918
184	1565	6898
185	1572	6883
186	1577	6857
187	1583	6838
188	1589	6820
189	1595	6803
190	1602	6786
191	1608	6768
192	1614	6751
193	1622	6739
194	1630	6729
195	1636	6712
196	1643	6699
197	1650	6684
198	1657	6670
199	1663	6655
200	1670	6640
201	1676	6622
202	1683	6608
203	1689	6592
204	1696	6578
205	1705	6572
206	1712	6561
207	1720	6553
208	1730	6547
209	1738	6541
210	1746	6529
211	1755	6523
212	1762	6511
213	1771	6505
214	1778	6493
215	1785	6482
216	1794	6474
217	1802	6464
218	1811	6459
219	1820	6453
220	1827	6442
221	1837	6439
222	1844	6428
223	1853	6421
224	1859	6404
225	1867	6394
226	1873	6381
227	1880	6366
228	1888	6359
229	1895	6344
230	1905	6345
231	1913	6333
232	1922	6328
233	1932	6326
234	1938	6309
235	1946	6301
236	1954	6292
237	1962	6284
238	1969	6272
239	1977	6260
240	1986	6255
241	1993	6245
242	2002	6237
243	2008	6224
244	2017	6218
245	2026	6211
246	2033	6200
247	2042	6192
248	2049	6182
249	2057	6173
250	2065	6162
251	2071	6147
252	2080	6143
253	2086	6128
254	2096	6123
255	2102	6111
256	2111	6104
257	2118	6093
258	2127	6088
259	2134	6076
260	2144	6073
261	2150	6058
262	2159	6050
263	2165	6037
264	2174	6031
265	2181	6020
266	2191	6016
267	2197	6002
268	2206	5995
269	2213	5983
270	2223	5982
271	2230	5970
272	2241	5969
273	2249	5959
274	2258	5953
275	2264	5941
276	2271	5929
277	2279	5918
278	2288	5913
279	2295	5901
280	2304	5896
281	2310	5883
282	2320	5879
283	2327	5868
284	2338	5866
285	2345	5855
286	2355	5851
287	2363	5842
288	2371	5835
289	2378	5822
290	2388	5819
291	2395	5808
292	2404	5802
293	2410	5788
294	2421	5786
295	2427	5772
296	2437	5768
297	2443	5755
298	2450	5746
299	2457	5733
300	2465	5725
301	2472	5713
302	2481	5708
303	2488	5697
304	2496	5689
305	2501	5673
306	2507	5661
307	2518	5658
308	2527	5651
309	2537	5647
310	2548	5645
311	2556	5637
312	2566	5632
313	2572	5621
314	2581	5614
315	2588	5603
316	2598	5598
317	2607	5592
318	2615	5584
319	2624	5577
320	2632	5569
321	2642	5563
322	2649	5553
323	2658	5547
324	2663	5531
325	2671	5524
326	2680	5516
327	2687	5506
328	2694	5496
329	2701	5483
330	2708	5474
331	2716	5464
332	2725	5458
333	2733	5450
334	2741	5442
335	2749	5433
336	2757	5424
337	2763	5412
338	2770	5402
339	2777	5391
340	2783	5379
341	2790	5369
342	2796	5356
343	2804	5347
344	2810	5336
345	2818	5327
346	2824	5314
347	2831	5304
348	2837	5292
349	2843	5281
350	2849	5269
351	2856	5258
352	2862	5247
353	2868	5234
354	2876	5226
355	2882	5214
356	2890	5205
357	2898	5198
358	2905	5187
359	2911	5175
360	2917	5164
361	2923	5151
362	2929	5140
363	2935	5129
364	2943	5120
365	2949	5109
366	2956	5098
367	2962	5088
368	2969	5077
369	2975	5066
370	2982	5056
371	2988	5044
372	2994	5034
373	3001	5023
374	3007	5012
375	3013	5001
376	3019	4989
377	3026	4979
378	3032	4969
379	3039	4958
380	3045	4947
381	3052	4937
382	3058	4927
383	3064	4916
384	3072	4907
385	3080	4900
386	3088	4891
387	3094	4881
388	3101	4871
389	3107	4860
390	3113	4849
391	3119	4838
392	3125	4827
393	3131	4817
394	3138	4806
395	3144	4796
396	3150	4785
397	3157	4776
398	3163	4765
399	3170	4755
400	3176	4744
401	3182	4734
402	3189	4725
403	3196	4715
404	3202	4705
405	3211	4698
406	3218	4689
407	3226	4681
408	3233	4672
409	3242	4665
410	3249	4656
411	3258	4650
412	3265	4640
413	3274	4634
414	3282	4626
415	3291	4620
416	3297	4610
417	3306	4603
418	3312	4592
419	3319	4584
420	3326	4574
421	3333	4566
422	3341	4558
423	3348	4548
424	3355	4540
425	3362	4530
426	3370	4523
427	3377	4513
428	3386	4506
429	3391	4496
430	3400	4489
431	3407	4479
432	3414	4471
433	3421	4462
434	3429	4454
435	3438	4447
436	3446	4439
437	3454	4432
438	3461	4422
439	3467	4412
440	3475	4405
441	3485	4400
442	3491	4389
443	3500	4383
444	3506	4373
445	3513	4364
446	3520	4355
447	3528	4347
448	3535	4338
449	3542	4329
450	3550	4322
451	3558	4313
452	3566	4306
453	3572	4296
454	3581	4289
455	3588	4281
456	3597	4274
457	3603	4264
458	3611	4256
459	3619	4248
460	3627	4240
461	3633	4231
462	3640	4222
463	3648	4214
464	3656	4207
465	3665	4200
466	3674	4194
467	3681	4185
468	3688	4176
469	3696	4167
470	3706	4162
471	3713	4154
472	3723	4148
473	3730	4139
474	3739	4133
475	3745	4123
476	3753	4115
477	3761	4107
478	3769	4099
479	3776	4091
480	3783	4082
481	3791	4074
482	3797	4064
483	3807	4059
484	3814	4050
485	3823	4043
486	3831	4035
487	3839	4027
488	3848	4021
489	3857	4015
490	3864	4006
491	3873	3999
492	3880	3990
493	3890	3984
494	3897	3975
495	3906	3969
496	3914	3961
497	3922	3954
498	3930	3946
499	3939	3939
500	3946	3930
501	3954	3922
502	3961	3914
503	3969	3906
504	3975	3897
505	3983	3889
506	3990	3879
507	3998	3872
508	4007	3865
509	4015	3858
510	4025	3851
511	4035	3846
512	4041	3836
513	4050	3829
514	4056	3820
515	4064	3812
516	4071	3803
517	4079	3796
518	4086	3787
519	4094	3779
520	4115	3783
521	4124	3776
522	4133	3769
523	4142	3763
524	4149	3754
525	4157	3746
526	4165	3738
527	4171	3729
528	4178	3720
529	4185	3711
530	4195	3705
531	4202	3696
532	4210	3688
533	4219	3682
534	4228	3674
535	4236	3667
536	4244	3659
537	4251	3651
538	4260	3643
539	4266	3634
540	4275	3627
541	4282	3618
542	4292	3612
543	4300	3604
544	4308	3597
545	4315	3588
546	4324	3581
547	4331	3572
548	4340	3565
549	4346	3556
550	4354	3548
551	4360	3538
552	4369	3531
553	4376	3523
554	4384	3515
555	4392	3507
556	4403	3501
557	4410	3493
558	4420	3487
559	4427	3478
560	4436	3471
561	4443	3462
562	4451	3455
563	4457	3446
564	4467	3439
565	4474	3430
566	4483	3424
567	4490	3415
568	4499	3408
569	4506	3399
570	4515	3392
571	4522	3383
572	4532	3377
573	4538	3368
574	4546	3360
575	4552	3351
576	4559	3342
577	4567	3335
578	4574	3326
579	4581	3317
580	4590	3310
581	4599	3303
582	4607	3295
583	4616	3288
584	4625	3281
585	4634	3274
586	4644	3267
587	4651	3259
588	4660	3252
589	4668	3243
590	4676	3236
591	4686	3229
592	4695	3222
593	4703	3215
594	4714	3208
595	4722	3200
596	4730	3193
597	4738	3185
598	4747	3178
599	4756	3170
600	4764	3163
601	4775	3157
602	4783	3149
603	4795	3144
604	4805	3137
605	4811	3128
606	4818	3119
607	4826	3111
608	4834	3103
609	4841	3095
610	4847	3086
611	4854	3077
612	4861	3068
613	4868	3060
614	4874	3051
615	4881	3042
616	4887	3033
617	4893	3024
618	4901	3016
619	4907	3007
620	4914	2999
621	4920	2990
622	4927	2981
623	4934	2973
624	4941	2964
625	4949	2957
626	4956	2948
627	4966	2941
628	4972	2932
629	4979	2924
630	4985	2915
631	4991	2906
632	4998	2898
633	5004	2889
634	5011	2880
635	5018	2872
636	5025	2863
637	5032	2855
638	5038	2846
639	5045	2838
640	5052	2829
641	5059	2821
642	5065	2812
643	5072	2803
644	5078	2795
645	5084	2786
646	5092	2778
647	5098	2769
648	5105	2761
649	5112	2752
650	5119	2744
651	5126	2736
652	5132	2727
653	5140	2719
654	5146	2710
655	5153	2702
656	5160	2693
657	5166	2685
658	5172	2676
659	5179	2668
660	5185	2659
661	5192	2650
662	5198	2642
663	5204	2633
664	5210	2625
665	5218	2616
666	5224	2608
667	5230	2599
668	5236	2590
669	5243	2582
670	5249	2573
671	5255	2565
672	5261	2556
673	5268	2548
674	5286	2545
675	5295	2538
676	5305	2531
677	5313	2523
678	5322	2516
679	5331	2508
680	5340	2501
681	5347	2493
682	5356	2486
683	5362	2477
684	5370	2469
685	5377	2461
686	5386	2454
687	5392	2445
688	5401	2438
689	5408	2429
690	5417	2422
691	5424	2414
692	5432	2406
693	5440	2398
694	5448	2390
695	5454	2382
696	5462	2374
697	5470	2366
698	5477	2358
699	5486	2351
700	5494	2343
701	5502	2335
702	5510	2328
703	5518	2320
704	5526	2312
705	5533	2304
706	5540	2296
707	5548	2288
708	5555	2280
709	5564	2272
710	5570	2264
711	5578	2256
712	5585	2248
713	5593	2240
714	5600	2232
715	5609	2224
716	5616	2216
717	5624	2208
718	5631	2200
719	5638	2192
720	5646	2184
721	5652	2176
722	5662	2169
723	5669	2161
724	5678	2153
725	5684	2145
726	5693	2137
727	5700	2129
728	5710	2122
729	5717	2114
730	5727	2107
731	5734	2099
732	5742	2091
733	5749	2083
734	5757	2075
735	5775	2071
736	5786	2064
737	5794	2057
738	5803	2049
739	5814	2042
740	5823	2035
741	5831	2027
742	5839	2019
743	5848	2012
744	5856	2004
745	5862	1996
746	5870	1988
747	5878	1980
748	5887	1973
749	5896	1965
750	5904	1957
751	5913	1950
752	5921	1942
753	5929	1934
754	5936	1926
755	5944	1918
756	5953	1910
757	5960	1903
758	5968	1895
759	5975	1886
760	5983	1879
761	5989	1870
762	5999	1863
763	6005	1855
764	6015	1847
765	6022	1839
766	6032	1832
767	6040	1824
768	6049	1817
769	6059	1809
770	6066	1801
771	6074	1793
772	6081	1785
773	6087	1777
774	6097	1770
775	6105	1762
776	6113	1754
777	6122	1746
778	6130	1739
779	6138	1731
780	6146	1723
781	6155	1715
782	6162	1707
783	6170	1700
784	6178	1692
785	6185	1684
786	6193	1676
787	6202	1668
788	6210	1660
789	6217	1652
790	6226	1645
791	6235	1637
792	6243	1629
793	6252	1622
794	6259	1614
795	6266	1606
796	6274	1598
797	6281	1590
798	6289	1582
799	6297	1574
800	6306	1566
801	6314	1558
802	6322	1551
803	6329	1543
804	6338	1535
805	6344	1527
806	6353	1519
807	6360	1511
808	6368	1503
809	6374	1495
810	6383	1487
811	6390	1479
812	6412	1475
813	6429	1469
814	6436	1460
815	6447	1453
816	6453	1445
817	6462	1437
818	6469	1429
819	6476	1421
820	6483	1413
821	6491	1405
822	6500	1398
823	6509	1390
824	6516	1382
825	6525	1374
826	6532	1366
827	6540	1358
828	6548	1350
829	6556	1342
830	6564	1334
831	6570	1326
832	6579	1319
833	6587	1311
834	6596	1303
835	6605	1295
836	6613	1287
837	6620	1279
838	6628	1271
839	6636	1264
840	6644	1256
841	6651	1248
842	6659	1240
843	6666	1232
844	6674	1224
845	6680	1216
846	6688	1208
847	6696	1200
848	6704	1192
849	6711	1184
850	6718	1176
851	6725	1168
852	6731	1160
853	6738	1152
854	6746	1144
855	6754	1136
856	6760	1128
857	6767	1120
858	6776	1112
859	6783	1104
860	6790	1096
861	6797	1088
862	6805	1080
863	6814	1072
864	6821	1064
865	6828	1056
866	6834	1048
867	6842	1040
868	6848	1032
869	6855	1024
870	6862	1016
871	6868	1008
872	6874	1000
873	6881	992
874	6888	984
875	6894	975
876	6900	967
877	6906	959
878	6912	951
879	6918	943
880	6925	935
881	6931	927
882	6937	919
883	6943	911
884	6950	903
885	6956	895
886	6962	887
887	6969	879
888	6975	870
889	6983	863
890	6991	855
891	6998	847
892	7004	839
893	7012	831
894	7019	823
895	7028	815
896	7035	807
897	7041	799
898	7048	791
899	7055	783
900	7061	775
901	7068	767
902	7076	760
903	7082	752
904	7089	744
905	7096	736
906	7102	728
907	7109	720
908	7117	712
909	7124	704
910	7131	696
911	7139	688
912	7145	680
913	7152	673
914	7158	665
915	7165	657
916	7172	649
917	7180	641
918	7189	633
919	7195	625
920	7202	617
921	7209	609
922	7216	602
923	7223	594
924	7230	586
925	7237	578
926	7244	570
927	7250	562
928	7257	554
929	7264	546
930	7271	538
931	7278	531
932	7285	523
933	7292	515
934	7299	507
935	7306	499
936	7314	491
937	7320	483
938	7328	476
939	7335	468
940	7342	460
941	7350	452
942	7358	444
943	7365	436
944	7373	429
945	7380	421
946	7387	413
947	7394	405
948	7401	397
949	7408	389
950	7414	382
951	7421	374
952	7428	366
953	7434	358
954	7441	350
955	7447	342
956	7454	334
957	7461	327
958	7467	319
959	7475	311
960	7482	303
961	7489	295
962	7495	287
963	7502	280
964	7509	272
965	7516	264
966	7523	256
967	7530	248
968	7537	241
969	7546	233
970	7552	225
971	7559	217
972	7566	209
973	7572	202
974	7579	194
975	7585	186
976	7591	178
977	7597	170
978	7604	163
979	7611	155
980	7618	147
981	7625	139
982	7631	131
983	7637	124
984	7644	116
985	7651	108
986	7657	100
987	7664	93
988	7671	85
989	7678	77
990	7685	69
991	7691	62
992	7698	54
993	7705	46
994	7712	38
995	7719	31
996	7728	23
997	7735	15
998	7742	7
999	7748	0
