iter	RMSE
0	115.3381606
1	114.8868743
2	114.4678432
3	114.1206067
4	113.8503342
5	113.6231208
6	113.3993678
7	113.2157786
8	113.0492802
9	112.9904814
10	112.9353438
11	112.8845123
12	112.7301957
13	112.6844407
14	112.5413556
15	112.5001415
16	112.3669686
17	112.2399381
18	112.2028943
19	112.1643893
20	112.1296783
21	112.0961778
22	112.0655753
23	112.0363202
24	111.8740937
25	111.8461861
26	111.8194385
27	111.7944839
28	111.7783679
29	111.7547795
30	111.7193172
31	111.5983873
32	111.5764808
33	111.508116
34	111.4012565
35	111.3239792
36	111.3035553
37	111.2847892
38	111.2667923
39	111.2484066
40	111.2322564
41	111.2018721
42	111.1840972
43	111.0764541
44	111.0625355
45	111.0493602
46	111.0366519
47	110.9423319
48	110.9176874
49	110.8696745
50	110.8578779
51	110.8470685
52	110.8365509
53	110.7849813
54	110.7699091
55	110.7284611
56	110.7189748
57	110.7093367
58	110.6743492
59	110.5818011
60	110.5621358
61	110.4919273
62	110.4476982
63	110.3957295
64	110.3198305
65	110.2731266
66	110.2461137
67	110.2071921
68	110.1910043
69	110.1837673
70	110.1768806
71	110.1501468
72	110.1439145
73	110.0964385
74	110.0681374
75	110.0621163
76	109.9783456
77	109.9727785
78	109.9247738
79	109.8954819
80	109.8359699
81	109.6928932
82	109.6676356
83	109.6583484
84	109.6125147
85	109.5846736
86	109.5580995
87	109.4638699
88	109.4158715
89	109.3826565
90	109.3569353
91	109.3451515
92	109.2744962
93	109.2473727
94	109.2007169
95	109.1615227
96	109.152073
97	109.1253876
98	109.0822512
99	109.0400333
100	108.9597055
101	108.9529005
102	108.9440287
103	108.9353025
104	108.8753156
105	108.8328306
106	108.8177332
107	108.7807977
108	108.7642948
109	108.7576624
110	108.7465456
111	108.739811
112	108.7235058
113	108.6333434
114	108.6279258
115	108.5523972
116	108.5285915
117	108.5088825
118	108.4848919
119	108.4585794
120	108.4504948
121	108.4284898
122	108.4058817
123	108.340557
124	108.2959486
125	108.2037486
126	108.1831781
127	108.166041
128	108.1314052
129	108.1198213
130	108.0638598
131	108.0170576
132	108.0102544
133	107.9826282
134	107.9245011
135	107.8556904
136	107.8485674
137	107.8291875
138	107.7920674
139	107.7900933
140	107.7681062
141	107.7400846
142	107.7300371
143	107.7282594
144	107.7019001
145	107.698253
146	107.6766086
147	107.64163
148	107.6345581
149	107.6252278
150	107.6152924
151	107.5604825
152	107.5511306
153	107.4984381
154	107.4781316
155	107.4498355
156	107.4263631
157	107.4172526
158	107.3980733
159	107.3886269
160	107.3770159
161	107.3709217
162	107.3415128
163	107.3189544
164	107.314953
165	107.2896848
166	107.2848154
167	107.2589628
168	107.2167125
169	107.1912836
170	107.1641845
171	107.1413764
172	107.132779
173	107.1138566
174	107.1069839
175	107.0925325
176	107.0655156
177	107.0563487
178	106.9734361
179	106.9525168
180	106.9191944
181	106.9135742
182	106.8825005
183	106.8771602
184	106.8670358
185	106.8190374
186	106.8184508
187	106.7936076
188	106.7315687
189	106.7081575
190	106.6799866
191	106.6760185
192	106.6526626
193	106.6488098
194	106.6314784
195	106.6054623
196	106.5401394
197	106.5107093
198	106.4849225
199	106.4469398
200	106.42217
201	106.4052359
202	106.3102832
203	106.2960351
204	106.2642786
205	106.2128647
206	106.2061007
207	106.197652
208	106.1673955
209	106.1036603
