iter	RMSE
210	106.0968769
211	106.0693925
212	106.0515146
213	106.0248694
214	105.9748888
215	105.961004
216	105.9312439
217	105.898926
218	105.8798199
219	105.8511227
220	105.8208623
221	105.7966394
222	105.7807283
223	105.775625
224	105.7714526
225	105.7526522
226	105.722547
227	105.6956919
228	105.6774109
229	105.6557615
230	105.6352364
231	105.6296971
232	105.6153256
233	105.5872948
234	105.5869757
235	105.5514873
236	105.5125826
237	105.4950877
238	105.4754358
239	105.4614473
240	105.436609
241	105.4129341
242	105.3888805
243	105.3760569
244	105.3557713
245	105.3322728
246	105.3168637
247	105.3034107
248	105.2911407
249	105.2582068
250	105.2436975
251	105.2189762
252	105.1811424
253	105.1758687
254	105.1494284
255	105.1412037
256	105.0887382
257	105.0510302
258	105.0476876
259	105.0281303
260	105.0063259
261	104.9923634
262	104.9867504
263	104.9661446
264	104.951521
265	104.9208736
266	104.9186988
267	104.8896115
268	104.8760763
269	104.8635315
270	104.8371963
271	104.8018211
272	104.7811404
273	104.761663
274	104.752226
275	104.7336193
276	104.7334194
277	104.7098178
278	104.7011184
279	104.6868961
280	104.6702346
281	104.6440019
282	104.636634
283	104.6120531
284	104.5915717
285	104.5437143
286	104.4825003
287	104.4534458
288	104.4443087
289	104.4267938
290	104.4001055
291	104.3839502
292	104.3599978
293	104.3311515
294	104.3099977
295	104.3071297
296	104.3041523
297	104.254819
298	104.2546652
299	104.2424506
300	104.1991112
301	104.1369872
302	104.1159649
303	104.1018324
304	104.1002215
305	104.1000829
306	104.0864404
307	104.0752898
308	104.0640823
309	104.0488315
310	104.0288767
311	104.0091555
312	103.9660127
313	103.9528953
314	103.9496052
315	103.9353548
316	103.9240709
317	103.9139722
318	103.8900157
319	103.8863443
320	103.8776202
321	103.8521402
322	103.8345994
323	103.8308233
324	103.8307105
325	103.8075216
326	103.7949425
327	103.7831061
328	103.7256395
329	103.7101351
330	103.7003599
331	103.6859879
332	103.669834
333	103.6676752
334	103.6442517
335	103.6295791
336	103.6001494
337	103.5608174
338	103.5491787
339	103.5189551
340	103.4944207
341	103.4927447
342	103.470814
343	103.4482605
344	103.4317715
345	103.4170717
346	103.4042603
347	103.3849744
348	103.3642119
349	103.3208558
350	103.3132061
351	103.2851689
352	103.2714863
353	103.2620222
354	103.2391516
355	103.2286594
356	103.2087598
357	103.1934114
358	103.1610846
359	103.1366214
360	103.1048688
361	103.0893223
362	103.0870493
363	103.0791746
364	103.0650555
365	103.0510344
366	103.0226465
367	103.0003909
368	102.9684188
369	102.9611843
370	102.9271341
371	102.9007545
372	102.8758599
373	102.8565789
374	102.8225837
375	102.8069184
376	102.7965557
377	102.7766638
378	102.7590997
379	102.7289452
380	102.7176748
381	102.6948575
382	102.6768619
383	102.6584219
384	102.6482528
385	102.630892
386	102.5913551
387	102.5626486
388	102.5509325
389	102.5441021
390	102.537399
391	102.5263774
392	102.5199851
393	102.5138844
394	102.5019902
395	102.4796969
396	102.4691881
397	102.4553559
398	102.4492189
399	102.4391554
400	102.4334075
401	102.4278473
402	102.4189135
403	102.4041073
404	102.3987867
405	102.3902197
406	102.3655198
407	102.3639994
408	102.3492446
409	102.3278009
410	102.3121315
411	102.2987014
412	102.2826646
413	102.2708531
414	102.2658086
415	102.2468385
416	102.2348489
417	102.2077636
418	102.202929
419	102.1982976
420	102.1769457
421	102.161941
422	102.147689
423	102.1347915
424	102.1159961
425	102.099757
426	102.0764226
427	102.0624288
428	102.0522413
429	102.0476102
430	102.0367357
431	102.027147
432	102.0154094
433	102.0007577
434	101.9833739
435	101.9604634
436	101.9503569
437	101.9151616
438	101.8932209
439	101.8887807
440	101.8805912
441	101.86752
442	101.8634504
443	101.8521728
444	101.837724
445	101.8338379
446	101.8247278
447	101.8129731
448	101.8093955
449	101.8005429
450	101.7777065
451	101.7612163
452	101.7577349
453	101.7453195
454	101.7309154
455	101.7122661
456	101.70893
457	101.7057344
458	101.6944603
459	101.6845172
460	101.6814555
461	101.6785217
462	101.661134
463	101.6482776
464	101.6339916
465	101.619689
466	101.602556
467	101.5906842
468	101.5878684
469	101.5851981
470	101.566388
471	101.5637988
472	101.5448302
473	101.5370097
474	101.5280065
475	101.5166199
476	101.514161
477	101.5033059
478	101.4941494
479	101.4800615
480	101.4640077
481	101.447938
482	101.4195953
483	101.4031512
484	101.3894444
485	101.3708701
486	101.345327
487	101.334967
488	101.320996
489	101.3004099
490	101.2936256
491	101.2843889
492	101.2697943
493	101.2481365
494	101.2358645
495	101.2157791
496	101.2052936
497	101.196147
498	101.1733758
499	101.1539494
500	101.1360436
501	101.1237953
502	101.0999894
503	101.0925458
504	101.0765928
505	101.065254
506	101.0417305
507	101.0306742
508	101.0248633
509	101.0209204
510	100.9831188
511	100.9726585
512	100.9637743
513	100.9502462
514	100.9405607
515	100.9381985
516	100.9304723
517	100.9141234
518	100.8939827
519	100.8770812
520	100.8665488
521	100.8572421
522	100.8503242
523	100.8265223
524	100.8242622
525	100.8129725
526	100.8107728
527	100.803196
528	100.801115
529	100.79909
530	100.764853
531	100.7505794
532	100.7349459
533	100.7224968
534	100.7082554
535	100.694475
536	100.6855299
537	100.677759
538	100.6525295
539	100.6505955
540	100.6375325
541	100.630614
542	100.6049089
543	100.5882749
544	100.5702815
545	100.5555591
546	100.5448845
547	100.5261362
548	100.514002
549	100.498273
550	100.4880353
551	100.4688672
552	100.4622606
553	100.4338266
554	100.4082662
555	100.3971028
556	100.3793308
557	100.3697243
558	100.3455507
559	100.3331103
560	100.3266355
561	100.3119307
562	100.292021
563	100.2798579
564	100.2672758
565	100.2574842
566	100.251793
567	100.2419058
568	100.226454
569	100.2246949
570	100.2067424
571	100.1980205
572	100.1884755
573	100.1868544
574	100.1852999
575	100.1795552
576	100.1780401
577	100.1521881
578	100.1467712
579	100.1282156
580	100.1075525
581	100.0941357
582	100.0762738
583	100.0643486
584	100.0389299
585	100.0301789
586	100.0176059
587	100.0082484
588	100.0068651
589	100.0009223
590	99.99616619
591	99.98397454
592	99.97412998
593	99.96089789
594	99.95214552
595	99.94203327
596	99.93122056
597	99.92324472
598	99.90429212
599	99.88721161
600	99.8683332
601	99.85560257
602	99.83681391
603	99.83219568
604	99.81995918
605	99.7665935
606	99.75221419
607	99.73613607
608	99.72192558
609	99.71165276
610	99.69782648
611	99.68835454
612	99.67101033
613	99.65941288
614	99.64568582
615	99.60666421
616	99.59361904
617	99.58457345
618	99.56839895
619	99.53230007
620	99.51414492
621	99.4866614
622	99.48098704
623	99.47305466
624	99.46015041
625	99.44809604
626	99.43569317
627	99.41945165
628	99.40885087
629	99.40050735
630	99.38919536
631	99.37169507
632	99.3587834
633	99.35204234
634	99.34089218
635	99.32929509
636	99.32121046
637	99.30241171
638	99.2859459
639	99.2748148
640	99.25116487
641	99.24003962
642	99.22873574
643	99.21664502
644	99.20863981
645	99.19544078
646	99.19098804
647	99.17962273
648	99.16937472
649	99.15806076
650	99.14725303
651	99.13560845
652	99.13066409
653	99.12318781
654	99.11725105
655	99.1036996
656	99.09810924
657	99.09000464
658	99.07563186
659	99.06187328
660	99.05262364
661	99.0425933
662	99.02765281
663	99.01740908
664	99.00890277
665	98.99728985
666	98.98646052
667	98.9708243
668	98.95752119
669	98.94806759
670	98.92701959
671	98.91171925
672	98.90360157
673	98.88359009
674	98.87043833
675	98.85835151
676	98.84068339
677	98.82168709
678	98.8109367
679	98.79813933
680	98.787805
681	98.77795869
682	98.76382101
683	98.73403931
684	98.72153321
685	98.71035651
686	98.68370277
687	98.67559047
688	98.6656874
689	98.64204923
690	98.61092329
691	98.60029141
692	98.58459727
693	98.57113719
694	98.56390985
695	98.55022585
696	98.5397559
697	98.5260268
698	98.51490139
699	98.48777302
700	98.48067562
701	98.47160853
702	98.46481767
703	98.44673218
704	98.43370404
705	98.42218099
706	98.41526689
707	98.40265891
708	98.38866368
709	98.38052402
710	98.37280285
711	98.36215597
712	98.35662867
713	98.34593209
714	98.33455382
715	98.31716373
716	98.306129
717	98.29321405
718	98.28481066
719	98.26951082
720	98.2629582
721	98.23752754
722	98.23116079
723	98.22222762
724	98.21708944
725	98.21041048
726	98.19220996
727	98.1806953
728	98.16838174
729	98.15537599
730	98.13933508
731	98.12702715
732	98.11201393
733	98.10045026
734	98.08807716
735	98.0750364
736	98.06461332
737	98.05310256
738	98.05202067
739	98.04493419
740	98.03348501
741	98.02897893
742	98.0244078
743	98.00969444
744	97.99147328
745	97.98111449
746	97.97483235
747	97.94756399
748	97.92575915
749	97.91534223
750	97.90430155
751	97.894625
752	97.89339859
753	97.87882678
754	97.87579411
755	97.84986123
756	97.84070771
757	97.81968386
758	97.8107508
759	97.79820361
760	97.78910943
761	97.78031684
762	97.77337996
763	97.76825233
764	97.75952093
765	97.74685073
766	97.73961022
767	97.73134475
768	97.72337014
769	97.71369208
770	97.70553891
771	97.67409406
772	97.67055741
773	97.66951955
774	97.65327345
775	97.64401221
776	97.63812487
777	97.62780107
778	97.61177151
779	97.60608315
780	97.59563214
781	97.5862685
782	97.572843
783	97.56436718
784	97.55451077
785	97.54832598
786	97.5275568
787	97.52244296
788	97.50691133
789	97.49757849
790	97.48530457
791	97.47242767
792	97.45837347
793	97.45028805
794	97.4441256
795	97.43186204
796	97.42617423
797	97.4168644
798	97.41431727
799	97.40275895
800	97.39072132
801	97.38873751
802	97.38160084
803	97.3807319
804	97.37079544
805	97.36592732
806	97.33362438
807	97.30884299
808	97.30803419
809	97.29578893
810	97.29136804
811	97.27878858
812	97.2634466
813	97.25058532
814	97.24328559
815	97.23588215
816	97.22428793
817	97.22207131
818	97.21278176
819	97.20357536
820	97.19844357
821	97.18937059
822	97.1762808
823	97.16158106
824	97.14542935
825	97.13513173
826	97.12572173
827	97.12345644
828	97.10285238
829	97.08383881
830	97.08173679
831	97.07530802
832	97.07456695
833	97.06347341
834	97.06278741
835	97.05131708
836	97.04592592
837	97.04529145
838	97.0362903
839	97.02925898
840	97.02520414
841	97.01105349
842	96.99450637
843	96.97731648
844	96.97362792
845	96.96223373
846	96.9555391
847	96.93663961
848	96.93203166
849	96.92225065
850	96.90633917
851	96.89610571
852	96.88685679
853	96.87922762
854	96.86889677
855	96.85437972
856	96.84349347
857	96.83678319
858	96.82581244
859	96.81855093
860	96.80712638
861	96.78928473
862	96.77893802
863	96.76330051
864	96.74985254
865	96.7412362
866	96.73707412
867	96.72635388
868	96.72083346
869	96.7168478
870	96.70795341
871	96.70122274
872	96.68327718
873	96.67230758
874	96.66264676
875	96.64957715
876	96.64367492
877	96.63821028
878	96.63251148
879	96.6268674
880	96.6183781
881	96.59162292
882	96.58250915
883	96.57541955
884	96.56902664
885	96.56217669
886	96.55485173
887	96.54226539
888	96.53758693
889	96.52564702
890	96.51529155
891	96.50470554
892	96.48806137
893	96.47957562
894	96.47158963
895	96.45944227
896	96.4479033
897	96.44309318
898	96.43343199
899	96.42346749
900	96.40567387
901	96.39977831
902	96.38751444
903	96.3780136
904	96.36821946
905	96.35444599
906	96.34623419
907	96.33730364
908	96.33217928
909	96.32447471
910	96.31568952
911	96.3067158
912	96.2961271
913	96.29023901
914	96.2863739
915	96.27732668
916	96.27194745
917	96.26753163
918	96.25698251
919	96.24769865
920	96.24054448
921	96.22695268
922	96.21478759
923	96.21085377
924	96.20072014
925	96.1964412
926	96.18749378
927	96.18290787
928	96.17872136
929	96.17108584
930	96.15903288
931	96.14348714
932	96.13286377
933	96.12421608
934	96.11628878
935	96.10527484
936	96.08126234
937	96.06926478
938	96.06082146
939	96.05160667
940	96.04177136
941	96.01628027
942	96.00849502
943	95.98348501
944	95.96572485
945	95.95750886
946	95.9502367
947	95.945996
948	95.93470649
949	95.92519367
950	95.91234281
951	95.90273262
952	95.89386338
953	95.88804706
954	95.87242554
955	95.86871105
956	95.8588776
957	95.84622685
958	95.83843606
959	95.83133802
960	95.82099699
961	95.81299756
962	95.80599712
963	95.79821663
964	95.78555038
965	95.78239198
966	95.76691455
967	95.76106059
968	95.75550733
969	95.74592898
970	95.73447257
971	95.72838619
972	95.71333051
973	95.70569868
974	95.69456277
975	95.68795683
976	95.6636389
977	95.65477759
978	95.64315416
979	95.63357545
980	95.62486975
981	95.61455408
982	95.60776854
983	95.60066311
984	95.59388169
985	95.58542169
986	95.58157185
987	95.56519217
988	95.55416173
989	95.54182101
990	95.5369106
991	95.53010717
992	95.5210905
993	95.50665961
994	95.50178046
995	95.49388217
996	95.49018526
997	95.48061159
998	95.47063118
999	95.46077218
